Title,MRP(Rs.),Savings(%),Price(Rs.),Brand,Model,Capacity,Annual Energy Consumption,Date,Link
"Cruise 1 Ton [Portable Antibacterial Coating, Dust Filter, Air Purifier, Dehumidifier Portable Ac",40900,27%,29990,Cruise,CPCATF-PQ3S12,1 Tons,1200 Kilowatt Hours,18-04-2023,https://amazon.in/Cruise-Portable-Control-CPCATF-PQ3S12-Exhaust/dp/B08954XBS7/ref=sr_1_84?qid=1681801356&s=kitchen&sr=1-84
LG 2 Ton 4 Star DUAL Inverter Wi-Fi Window AC,,,,LG,RW-Q24WWYA,2 Tons,1384.94 Kilowatt Hours Per Year,18-04-2023,https://amazon.in/LG-Inverter-Convertible-Protection-RW-Q24WWYA/dp/B0BQJKCJVP/ref=sr_1_85?qid=1681801356&s=kitchen&sr=1-85
Godrej 1.5 Ton 3 Star Inverter Split AC,45900,28%,33130,Godrej,D01126 SIC18TTC3-IDU,1.5 Tons,981.14 Kilowatt Hours Per Year,18-04-2023,https://amazon.in/Godrej-Inverter-Split-18TTC3-WWA-White/dp/B0BTYVYJ21/ref=sr_1_86?qid=1681801356&s=kitchen&sr=1-86
Candy 1.5 Ton 4 Star Dual DC Inverter Split AC,46000,32%,31490,Candy,C18S4IN,1.5 Tons,997 Kilowatt Hours Per Year,18-04-2023,https://amazon.in/Candy-Inverter-Split-Copper-C18S4IN-CG/dp/B09T4T4596/ref=sr_1_87?qid=1681801356&s=kitchen&sr=1-87
WINDOW AC - 1.5TR HITACHI NEW KAZE PLUS 3-STAR - R32 RAW318HFDOF,,,,Hitachi,RAW318HFDOF,1.5 Tons,1161.16 Kilowatt Hours,18-04-2023,https://amazon.in/WINDOW-AC-HITACHI-3-STAR-RAW318HFDOF/dp/B0BTPDVPNV/ref=sr_1_88?qid=1681801356&s=kitchen&sr=1-88
ONIDA 1.5 Ton 3 Star Inverter Split AC,43900,26%,32490,Onida,IR183DAS,1.5 Tons,969.15 Kilowatts,18-04-2023,https://amazon.in/ONIDA-Inverter-Copper-Filter-IR183DAS/dp/B0BQWVR6MJ/ref=sr_1_89?qid=1681801356&s=kitchen&sr=1-89
"Voltas 1 Ton 5 Star, Inverter Split AC",63990,37%,40399,Voltas,125V Vectra Elite,1 Tons,3500 Watts,18-04-2023,https://amazon.in/Voltas-Adjustable-Inverter-Copper-VECTRA/dp/B0BBFYBWX9/ref=sr_1_90?qid=1681801356&s=kitchen&sr=1-90
Panasonic 1.5 Ton 3 Star Hot and Cold Wi-Fi Inverter Smart Split AC,,,,Panasonic,,1.5 Tons,972.89 Kilowatt Hours,18-04-2023,https://amazon.in/Panasonic-Convertible-additional-Purification-CU-KZ18ZKYF/dp/B0BRJFLLJX/ref=sr_1_91?qid=1681801356&s=kitchen&sr=1-91
IFB 1.5 Ton 4 Star Gold Series Inverter Split AC,49390,28%,35490,IFB,CI1844X223G1,1.5 Tons,5210 Kilowatt Hours,18-04-2023,https://amazon.in/IFB-Inverter-Convertible-Cooling-CI1844X223G1/dp/B09R9W6LJR/ref=sr_1_92?qid=1681801356&s=kitchen&sr=1-92
"Voltas 1.5 Ton 3 Star, Fixed Speed Window AC",42990,33%,28833,Voltas,183 Vectra Elite,1.5 Tons,4950 Watts,18-04-2023,https://amazon.in/Voltas-Fixed-Window-Copper-Vectra/dp/B0BBFR2XL8/ref=sr_1_93?qid=1681801356&s=kitchen&sr=1-93
Carrier 1.5 Ton 3 Star Window AC,,,,Carrier,18k estrella Dx 3s,1.5 Tons,1206 Kilowatt Hours Per Year,18-04-2023,https://amazon.in/Carrier-Window-Copper-Estrella-Dx/dp/B0BGHPSH11/ref=sr_1_94?qid=1681801356&s=kitchen&sr=1-94
"Voltas 2 Ton 2 Star, Fixed Speed Window AC",47990,27%,34999,Voltas,242 Vectra Plus,2 Tons,5800 Watts,18-04-2023,https://amazon.in/Voltas-Fixed-Window-Copper-VECTRA/dp/B0BBFWYWS9/ref=sr_1_95?qid=1681801356&s=kitchen&sr=1-95
